agency_id,fare_id,price,currency_type,payment_method
0,0,0,PEN,0
0,1,0,PEN,0
0,2,0,PEN,0
0,3,0,PEN,0
0,4,0,PEN,0
1,5,0,PEN,0
1,6,0,PEN,0
1,7,0,PEN,0
1,8,0,PEN,0
2,9,0,PEN,0
2,10,0,PEN,0
2,11,0,PEN,0
2,12,0,PEN,0
2,13,0,PEN,0
2,14,0,PEN,0
2,15,0,PEN,0
2,16,0,PEN,0
2,17,0,PEN,0
2,18,0,PEN,0
2,19,0,PEN,0
2,20,0,PEN,0
3,21,0,PEN,0
4,22,0,PEN,0
4,23,0,PEN,0
5,24,0,PEN,0
5,25,0,PEN,0
6,26,0,PEN,0
6,27,0,PEN,0
6,28,0,PEN,0
6,29,0,PEN,0
6,30,0,PEN,0
6,31,0,PEN,0
5,32,0,PEN,0
7,33,0,PEN,0
7,34,0,PEN,0
7,35,0,PEN,0
7,36,0,PEN,0
8,37,0,PEN,0
8,38,0,PEN,0
8,39,0,PEN,0
9,40,0,PEN,0
10,41,0,PEN,0
11,42,0,PEN,0
11,43,0,PEN,0
11,44,0,PEN,0
11,45,0,PEN,0
12,46,0,PEN,0
12,47,0,PEN,0
12,48,0,PEN,0
12,49,0,PEN,0
12,50,0,PEN,0
12,51,0,PEN,0
12,52,0,PEN,0
12,53,0,PEN,0
13,54,0,PEN,0
13,55,0,PEN,0
13,56,0,PEN,0
13,57,0,PEN,0
13,58,0,PEN,0
14,59,0,PEN,0
14,60,0,PEN,0
14,61,0,PEN,0
14,62,0,PEN,0
15,63,0,PEN,0
15,64,0,PEN,0
15,65,0,PEN,0
15,66,0,PEN,0
15,67,0,PEN,0
16,68,0,PEN,0
16,69,0,PEN,0
16,70,0,PEN,0
17,71,0,PEN,0
17,72,0,PEN,0
18,73,0,PEN,0
18,74,0,PEN,0
18,75,0,PEN,0
18,76,0,PEN,0
18,77,0,PEN,0
18,78,0,PEN,0
18,79,0,PEN,0
18,80,0,PEN,0
18,81,0,PEN,0
19,82,0,PEN,0
19,83,0,PEN,0
20,84,0,PEN,0
20,85,0,PEN,0
20,86,0,PEN,0
20,87,0,PEN,0
21,88,0,PEN,0
22,89,0,PEN,0
22,90,0,PEN,0
23,91,0,PEN,0
23,92,0,PEN,0
23,93,0,PEN,0
23,94,0,PEN,0
23,95,0,PEN,0
24,96,0,PEN,0
24,97,0,PEN,0
25,98,0,PEN,0
25,99,0,PEN,0
25,100,0,PEN,0
8,101,0,PEN,0
26,102,0,PEN,0
26,103,0,PEN,0
9,104,0,PEN,0
9,105,0,PEN,0
27,106,0,PEN,0
27,107,0,PEN,0
3,108,0,PEN,0
3,109,0,PEN,0
3,110,0,PEN,0
9,111,0,PEN,0
10,112,0,PEN,0
10,113,0,PEN,0
10,114,0,PEN,0
10,115,0,PEN,0
10,116,0,PEN,0
11,117,0,PEN,0
11,118,0,PEN,0
13,119,0,PEN,0
15,120,0,PEN,0
16,121,0,PEN,0
28,122,0,PEN,0
28,123,0,PEN,0
28,124,0,PEN,0
21,125,0,PEN,0
27,126,0,PEN,0
28,127,0,PEN,0
27,128,0,PEN,0
29,129,0,PEN,0
29,130,0,PEN,0
27,131,0,PEN,0
27,132,0,PEN,0
25,133,0,PEN,0
29,134,0,PEN,0
29,135,0,PEN,0
29,136,0,PEN,0
29,137,0,PEN,0
29,138,0,PEN,0
30,139,0,PEN,0
30,140,0,PEN,0
29,141,0,PEN,0
29,142,0,PEN,0
29,143,0,PEN,0
31,144,0,PEN,0
32,145,0,PEN,0
31,146,0,PEN,0
31,147,0,PEN,0
32,148,0,PEN,0
31,149,0,PEN,0
32,150,0,PEN,0
31,151,0,PEN,0
31,152,0,PEN,0
33,153,0,PEN,0
32,154,0,PEN,0
32,155,0,PEN,0
32,156,0,PEN,0
34,157,0,PEN,0
34,158,0,PEN,0
35,159,0,PEN,0
34,160,0,PEN,0
34,161,0,PEN,0
21,162,0,PEN,0
35,163,0,PEN,0
35,164,0,PEN,0
5,165,0,PEN,0
3,166,0,PEN,0
5,167,0,PEN,0
21,168,0,PEN,0
21,169,0,PEN,0
21,170,0,PEN,0
21,171,0,PEN,0
21,172,0,PEN,0
35,173,0,PEN,0
35,174,0,PEN,0
35,175,0,PEN,0
1,176,0,PEN,0
3,177,0,PEN,0
1,178,0,PEN,0
5,179,0,PEN,0
31,180,0,PEN,0
23,181,0,PEN,0
33,182,0,PEN,0
36,183,0,PEN,0
36,184,0,PEN,0
36,185,0,PEN,0
36,186,0,PEN,0
36,187,0,PEN,0
36,188,0,PEN,0
29,189,0,PEN,0
29,190,0,PEN,0
18,191,0,PEN,0
18,192,0,PEN,0
22,193,0,PEN,0
22,194,0,PEN,0
32,195,0,PEN,0
32,196,0,PEN,0
5,197,0,PEN,0
5,198,0,PEN,0
5,199,0,PEN,0
5,200,0,PEN,0
