agency_id,fare_id,price,currency_type,payment_method
0,0,0,PEN,0
0,1,0,PEN,0
0,2,0,PEN,0
0,3,0,PEN,0
0,4,0,PEN,0
1,5,0,PEN,0
1,6,0,PEN,0
1,7,0,PEN,0
1,8,0,PEN,0
2,9,0,PEN,0
2,10,0,PEN,0
2,11,0,PEN,0
2,12,0,PEN,0
2,13,0,PEN,0
2,14,0,PEN,0
2,15,0,PEN,0
2,16,0,PEN,0
2,17,0,PEN,0
2,18,0,PEN,0
2,19,0,PEN,0
2,20,0,PEN,0
2,21,0,PEN,0
2,22,0,PEN,0
3,23,0,PEN,0
4,24,0,PEN,0
4,25,0,PEN,0
5,26,0,PEN,0
5,27,0,PEN,0
6,28,0,PEN,0
6,29,0,PEN,0
6,30,0,PEN,0
6,31,0,PEN,0
6,32,0,PEN,0
6,33,0,PEN,0
6,34,0,PEN,0
6,35,0,PEN,0
5,36,0,PEN,0
6,37,0,PEN,0
7,38,0,PEN,0
7,39,0,PEN,0
7,40,0,PEN,0
7,41,0,PEN,0
7,42,0,PEN,0
7,43,0,PEN,0
7,44,0,PEN,0
7,45,0,PEN,0
7,46,0,PEN,0
6,47,0,PEN,0
7,48,0,PEN,0
8,49,0,PEN,0
8,50,0,PEN,0
8,51,0,PEN,0
9,52,0,PEN,0
10,53,0,PEN,0
11,54,0,PEN,0
11,55,0,PEN,0
11,56,0,PEN,0
11,57,0,PEN,0
12,58,0,PEN,0
12,59,0,PEN,0
12,60,0,PEN,0
12,61,0,PEN,0
12,62,0,PEN,0
12,63,0,PEN,0
12,64,0,PEN,0
12,65,0,PEN,0
13,66,0,PEN,0
13,67,0,PEN,0
2,68,0,PEN,0
2,69,0,PEN,0
13,70,0,PEN,0
13,71,0,PEN,0
13,72,0,PEN,0
14,73,0,PEN,0
14,74,0,PEN,0
14,75,0,PEN,0
14,76,0,PEN,0
15,77,0,PEN,0
15,78,0,PEN,0
15,79,0,PEN,0
15,80,0,PEN,0
15,81,0,PEN,0
16,82,0,PEN,0
16,83,0,PEN,0
16,84,0,PEN,0
17,85,0,PEN,0
17,86,0,PEN,0
18,87,0,PEN,0
18,88,0,PEN,0
18,89,0,PEN,0
18,90,0,PEN,0
18,91,0,PEN,0
18,92,0,PEN,0
18,93,0,PEN,0
18,94,0,PEN,0
18,95,0,PEN,0
19,96,0,PEN,0
19,97,0,PEN,0
20,98,0,PEN,0
20,99,0,PEN,0
20,100,0,PEN,0
20,101,0,PEN,0
21,102,0,PEN,0
22,103,0,PEN,0
22,104,0,PEN,0
23,105,0,PEN,0
23,106,0,PEN,0
23,107,0,PEN,0
23,108,0,PEN,0
23,109,0,PEN,0
24,110,0,PEN,0
24,111,0,PEN,0
25,112,0,PEN,0
25,113,0,PEN,0
25,114,0,PEN,0
8,115,0,PEN,0
26,116,0,PEN,0
26,117,0,PEN,0
9,118,0,PEN,0
9,119,0,PEN,0
27,120,0,PEN,0
27,121,0,PEN,0
3,122,0,PEN,0
3,123,0,PEN,0
3,124,0,PEN,0
9,125,0,PEN,0
10,126,0,PEN,0
10,127,0,PEN,0
10,128,0,PEN,0
10,129,0,PEN,0
10,130,0,PEN,0
11,131,0,PEN,0
11,132,0,PEN,0
13,133,0,PEN,0
15,134,0,PEN,0
16,135,0,PEN,0
28,136,0,PEN,0
28,137,0,PEN,0
28,138,0,PEN,0
21,139,0,PEN,0
27,140,0,PEN,0
28,141,0,PEN,0
27,142,0,PEN,0
29,143,0,PEN,0
29,144,0,PEN,0
27,145,0,PEN,0
27,146,0,PEN,0
25,147,0,PEN,0
29,148,0,PEN,0
29,149,0,PEN,0
29,150,0,PEN,0
29,151,0,PEN,0
29,152,0,PEN,0
30,153,0,PEN,0
30,154,0,PEN,0
29,155,0,PEN,0
29,156,0,PEN,0
29,157,0,PEN,0
31,158,0,PEN,0
32,159,0,PEN,0
31,160,0,PEN,0
31,161,0,PEN,0
32,162,0,PEN,0
31,163,0,PEN,0
32,164,0,PEN,0
31,165,0,PEN,0
31,166,0,PEN,0
33,167,0,PEN,0
32,168,0,PEN,0
32,169,0,PEN,0
34,170,0,PEN,0
32,171,0,PEN,0
34,172,0,PEN,0
32,173,0,PEN,0
34,174,0,PEN,0
34,175,0,PEN,0
35,176,0,PEN,0
34,177,0,PEN,0
34,178,0,PEN,0
21,179,0,PEN,0
35,180,0,PEN,0
35,181,0,PEN,0
5,182,0,PEN,0
3,183,0,PEN,0
5,184,0,PEN,0
21,185,0,PEN,0
21,186,0,PEN,0
21,187,0,PEN,0
21,188,0,PEN,0
21,189,0,PEN,0
35,190,0,PEN,0
35,191,0,PEN,0
35,192,0,PEN,0
1,193,0,PEN,0
6,194,0,PEN,0
3,195,0,PEN,0
5,196,0,PEN,0
31,197,0,PEN,0
23,198,0,PEN,0
33,199,0,PEN,0
36,200,0,PEN,0
36,201,0,PEN,0
36,202,0,PEN,0
36,203,0,PEN,0
36,204,0,PEN,0
36,205,0,PEN,0
29,206,0,PEN,0
29,207,0,PEN,0
18,208,0,PEN,0
18,209,0,PEN,0
22,210,0,PEN,0
22,211,0,PEN,0
