route_id,agency_id,route_short_name,route_long_name,route_color,route_type
19946662,0,M-01 C,Via Panamericana Norte → Av. Manuel Seoane,,3
19946938,0,M-01 C,Av. Manuel Seoane → Via Panamericana Norte,,3
19950139,0,M-02 A,Ca. Turquesas → Av. Manuel Seoane,,3
19950214,0,M-02 A,Av. Manuel Seoane → Ca. Turquesas,,3
19953369,0,M-03 B,A.H. Ciudad de Dios → A.H. Ciudad de Dios,,3
19953601,1,M-04 A,A.H. Cerro La Virgen → A.H. Cerro La Virgen,,3
19959151,1,M-05 H,Av. la Paz → Av. la Paz,,3
19959184,1,M-06 B,Av. la Paz → Av. Victor Raul Haya de la Torre,,3
19959196,1,M-06 B,Av. Victor Larco Herrera → Av. la Paz,,3
19959202,2,M-07 V,Av. Libertad → Av. San Pedro,,3
19959207,2,M-07 V,Av. San Pedro → Av. Libertad,,3
19959214,2,M-08 A,Av. Libertad → Via Panamericana Norte,,3
19959217,2,M-08 A,Via Panamericana Norte → Av. Libertad,,3
19959224,2,M-09 BC,Av. Libertad → Av. San Pedro,,3
19961769,2,M-09 BC,Av. San Pedro → Av. Libertad,,3
19961792,2,M-10 B1,Av. Libertad → Av. Los Tulipanes,,3
19961795,2,M-10 B1,Av. Los Tulipanes → Av. Libertad,,3
19961869,2,M-11 D,Av. San Pedro → Via Panamericana Norte,,3
19961898,2,M-11 D,Via Panamericana Norte → Av. San Pedro,,3
19961919,2,M-12 C,Av. Libertad → Via Panamericana Norte,,3
19961936,2,M-12 C,Via Panamericana Norte → Av. Libertad,,3
19961948,2,M-36 LV,Ca. Virgen de la Puerta → Av. Libertad,,3
19961958,2,M-36 LV,Av. Libertad → Ca. Virgen de la Puerta,,3
19961962,3,M-14 C3,A.H. Ciudad de Dios → Óvalo Larco,,3
19962130,4,M-16 C,Av. Vallejo → Ca. 8,,3
19962183,4,M-16 C,Ca. 8 → Av. Vallejo,,3
19962194,5,M-19 A,Manzana Ñ → Ca. 8,,3
19962204,5,M-18 C1,Av. Dos → Av. Dos,,3
19962213,6,M-20 C,Sector Nuevo Horizonte → Av. 12 de Noviembre,,3
19962218,6,M-20 C,Sector Nuevo Horizonte → Av. 12 de Noviembre,,3
19962222,6,M-20 C,Av. 12 de Noviembre → Sector Nuevo Horizonte,,3
19962228,6,M-20 C,Av. 12 de Noviembre → Sector Nuevo Horizonte,,3
19962230,6,M-21 A,Av. 12 de Noviembre → Sector Nuevo Horizonte,,3
19962257,6,M-21 A,Sector Nuevo Horizonte → Av. 12 de Noviembre,,3
19962263,6,M-22 F,Av. 12 de Noviembre → Av. Juan Pablo II,,3
19962271,6,M-22 F,Av. Juan Pablo II → Prolongación Av. 12 de Noviembre,,3
19962272,5,M-19 A,Ca. 8 → Manzana Ñ,,3
19962280,6,M-28 A,A.H. Primavera III → Av. los Pajuiles,,3
19962287,7,M-23 B,Ca. Atahualpa → Ca. Pedro Ruiz Gallo,,3
19962292,7,M-23 B,Ca. Pedro Ruiz Gallo → Ca. Atahualpa,,3
19962294,7,M-23 B,Ca. Pedro Ruiz Gallo → Ca. 7 de Julio,,3
19962298,7,M-23 B,Ca. 7 de Julio → Ca. Pedro Ruiz Gallo,,3
19962300,7,M-23 B,Ca. Pedro Ruiz Gallo → Via Evitamiento Milagro,,3
19962303,7,M-23 B,Via Evitamiento Milagro → Ca. Pedro Ruiz Gallo,,3
19962313,7,M-23 B,Ca. Pedro Ruiz Gallo → Via Evitamiento Milagro,,3
19962315,7,M-23 B,Via Evitamiento Milagro → Ca. Pedro Ruiz Gallo,,3
19962320,6,M-28 A,Av. los Pajuiles → A.H. Primavera III,,3
19962362,8,M-25 A,Ca. Liverpool → Ca. F,,3
19962394,8,M-25 A,Ca. F → Ca. Liverpool,,3
19962432,8,M-26 B,Futuro Barrio 5C → Ca. Alfonso Ugarte,,3
19962502,9,M-29 B,A.H. Primavera → Ca. Liverpool,,3
19965057,10,M-31 A,Av. América Sur → Ca. Nuevo Indoamérica,,3
19965743,11,M-34 A,Ca. Santa Ana → Ca. Los Pensamientos,,3
19965745,11,M-34 A,Ca. Los Pensamientos → Ca. Santa Ana,,3
19965750,11,M-34 A,Ca. Santa Ana → Ca. Los Pensamientos,,3
19965773,11,M-34 A,Ca. Los Pensamientos → Ca. Santa Ana,,3
19965775,12,M-35 D,Vía Panamericana → Av. Del Contador,,3
19965776,12,M-35 D,Av. Del Contador → Vía Panamericana,,3
