trip_id,route_id,service_id,shape_id
0,19946662,Mo-Su,19946662
1,19946938,Mo-Su,19946938
2,19950139,Mo-Su,19950139
3,19950214,Mo-Su,19950214
4,19953369,Mo-Su,19953369
5,19953601,Mo-Su,19953601
6,19959151,Mo-Su,19959151
7,19959184,Mo-Su,19959184
8,19959196,Mo-Su,19959196
9,19959202,Mo-Su,19959202
10,19959207,Mo-Su,19959207
11,19959214,Mo-Su,19959214
12,19959217,Mo-Su,19959217
13,19959224,Mo-Su,19959224
14,19961769,Mo-Su,19961769
15,19961792,Mo-Su,19961792
16,19961795,Mo-Su,19961795
17,19961869,Mo-Su,19961869
18,19961898,Mo-Su,19961898
19,19961919,Mo-Su,19961919
20,19961936,Mo-Su,19961936
21,19961948,Mo-Su,19961948
22,19961958,Mo-Su,19961958
23,19961962,Mo-Su,19961962
24,19962130,Mo-Su,19962130
25,19962183,Mo-Su,19962183
26,19962194,Mo-Su,19962194
27,19962204,Mo-Su,19962204
28,19962213,Mo-Su,19962213
29,19962218,Mo-Su,19962218
30,19962222,Mo-Su,19962222
31,19962228,Mo-Su,19962228
32,19962230,Mo-Su,19962230
33,19962257,Mo-Su,19962257
34,19962263,Mo-Su,19962263
35,19962271,Mo-Su,19962271
36,19962272,Mo-Su,19962272
37,19962280,Mo-Su,19962280
38,19962287,Mo-Su,19962287
39,19962292,Mo-Su,19962292
40,19962294,Mo-Su,19962294
41,19962298,Mo-Su,19962298
42,19962300,Mo-Su,19962300
43,19962303,Mo-Su,19962303
44,19962313,Mo-Su,19962313
45,19962315,Mo-Su,19962315
46,19962320,Mo-Su,19962320
47,19962362,Mo-Su,19962362
48,19962394,Mo-Su,19962394
49,19962432,Mo-Su,19962432
50,19962502,Mo-Su,19962502
51,19965057,Mo-Su,19965057
52,19965743,Mo-Su,19965743
53,19965745,Mo-Su,19965745
54,19965750,Mo-Su,19965750
55,19965773,Mo-Su,19965773
56,19965775,Mo-Su,19965775
57,19965776,Mo-Su,19965776
58,19965801,Mo-Su,19965801
59,19965802,Mo-Su,19965802
60,19965837,Mo-Su,19965837
61,19965840,Mo-Su,19965840
62,19965847,Mo-Su,19965847
63,19965854,Mo-Su,19965854
64,19965855,Mo-Su,19965855
65,19966163,Mo-Su,19966163
66,19966193,Mo-Su,19966193
67,19966196,Mo-Su,19966196
68,19966201,Mo-Su,19966201
69,19966210,Mo-Su,19966210
70,19966215,Mo-Su,19966215
71,19966218,Mo-Su,19966218
72,19966224,Mo-Su,19966224
73,19966226,Mo-Su,19966226
74,19966253,Mo-Su,19966253
75,19966264,Mo-Su,19966264
76,19966270,Mo-Su,19966270
77,19966288,Mo-Su,19966288
78,19966297,Mo-Su,19966297
79,19967351,Mo-Su,19967351
80,19967429,Mo-Su,19967429
81,19967529,Mo-Su,19967529
82,19967536,Mo-Su,19967536
83,19967551,Mo-Su,19967551
84,19967562,Mo-Su,19967562
85,19967583,Mo-Su,19967583
86,19967604,Mo-Su,19967604
87,19967639,Mo-Su,19967639
88,19967670,Mo-Su,19967670
89,19967674,Mo-Su,19967674
90,19967678,Mo-Su,19967678
91,19967679,Mo-Su,19967679
92,19968040,Mo-Su,19968040
93,19968053,Mo-Su,19968053
94,19968101,Mo-Su,19968101
95,19968109,Mo-Su,19968109
96,19968121,Mo-Su,19968121
97,19968127,Mo-Su,19968127
98,19968129,Mo-Su,19968129
99,19968140,Mo-Su,19968140
100,19968169,Mo-Su,19968169
101,19968174,Mo-Su,19968174
102,19968178,Mo-Su,19968178
103,19968183,Mo-Su,19968183
104,19968195,Mo-Su,19968195
105,19968210,Mo-Su,19968210
106,19968338,Mo-Su,19968338
107,19968352,Mo-Su,19968352
108,19968383,Mo-Su,19968383
109,19968388,Mo-Su,19968388
110,19970882,Mo-Su,19970882
111,19970891,Mo-Su,19970891
112,19970967,Mo-Su,19970967
113,19971395,Mo-Su,19971395
114,19971408,Mo-Su,19971408
115,19971409,Mo-Su,19971409
116,19971413,Mo-Su,19971413
