relation_id,ref,length_m,gap_start_m,gap_end_m,from,to,start_lat,start_lon,end_lat,end_lon,severity
19972496,C-32 S,62124,32198,32,Mucha,Palermo,-7.8540300,-78.7546774,-8.0976544,-79.0162881,critical
19972461,C-30 C,52810,30334,132,Sector Cushmun,Avenida Los Laureles,-7.9962703,-78.6849886,-8.0889143,-79.0227511,critical
19972470,C-30 C,50895,132,29865,Avenida Los Laureles,Sector Cushmun,-8.0889143,-79.0227511,-7.9959422,-78.6895343,critical
19972502,C-32 S,52314,33,29736,Palermo,Mucha,-8.1011206,-79.0181548,-7.8727556,-78.7672091,critical
19972515,C-33 P2,53609,29385,103,Sector Platanar,Avenida America del Sur,-8.0040358,-78.6916727,-8.1027749,-79.0110643,critical
19972516,C-33 P2,54688,103,29385,Avenida América Sur,Sector Platanar,-8.1027749,-79.0110643,-8.0040358,-78.6916727,critical
19988714,C-33 P2,53609,29385,103,Sector Platanar,Avenida America del Sur,-8.0040358,-78.6916727,-8.1027749,-79.0110643,critical
19988728,C-33 P2,54688,103,29385,Avenida America del Sur,Sector Platanar,-8.1027749,-79.0110643,-8.0040358,-78.6916727,critical
19972479,C-31 P,47365,33,29161,Avenida Prolongación Santa,Sector Huangabal,-8.1011206,-79.0181548,-7.9288546,-78.7270334,critical
19990939,C-32 S,52885,33,28612,Palermo,Sector Collambay,-8.1011206,-79.0181548,-7.8555993,-78.8052713,critical
19991778,C-32 S,59319,23623,32,Sector Collambay,Palermo,-7.8945468,-78.8282720,-8.0976544,-79.0162881,critical
19973949,C-15 P1,51033,23204,103,Sector Huayabito,Avenida America del Sur,-8.0613039,-78.7382798,-8.1027749,-79.0110643,critical
19973958,C-15 P1,51912,103,23204,Avenida America del Sur,Sector Huayabito,-8.1027749,-79.0110643,-8.0613039,-78.7382798,critical
19988678,C-15 P1,51033,23204,103,Sector Huayabito,Avenida America del Sur,-8.0613039,-78.7382798,-8.1027749,-79.0110643,critical
19988688,C-15 P1,51912,103,23204,Avenida America del Sur,Sector Huayabito,-8.1027749,-79.0110643,-8.0613039,-78.7382798,critical
19972473,C-31 P,59342,18472,21,Sector Huangabal,Avenida Prolongación Santa,-7.9772212,-78.8110788,-8.1013517,-79.0182168,critical
19972508,C-15 P1,47554,17845,103,Sector Tres Cruces,Avenida America del Sur,-8.0210333,-78.7960294,-8.1027749,-79.0110643,critical
19973946,C-15 P1,48433,103,17845,Avenida America del Sur,Sector Tres Cruces,-8.1027749,-79.0110643,-8.0210333,-78.7960294,critical
19988601,C-15 P1,47554,17845,103,Sector Tres Cruces,Avenida América Sur,-8.0210333,-78.7960294,-8.1027749,-79.0110643,critical
19988606,C-15 P1,48433,103,17845,Avenida America del Sur,Sector Tres Cruces,-8.1027749,-79.0110643,-8.0210333,-78.7960294,critical
19968352,C-18 P,12599,720,34,Cruce Vial S/N,Avenida Cesar Vallejo,-8.0516440,-78.9947621,-8.1264164,-79.0302077,warning
19988569,C-18 P,14354,34,616,Avenida Cesar Vallejo,Cruce Vial S/N,-8.1264164,-79.0302077,-8.0493449,-78.9947107,warning
19968101,C-12 B,21642,538,8,Sector Taquila,Carlos García Ronceros,-8.1937990,-79.0012087,-8.0547972,-79.0233251,warning
19968109,C-12 B,21781,8,538,Carlos García Ronceros,Sector Taquila,-8.0547972,-79.0233251,-8.1937990,-79.0012087,warning
19965775,M-35 D,19013,518,43,Vía Panamericana,Avenida Del Contador,-8.0467316,-79.0857735,-8.1178827,-79.0053727,warning
19965801,M-35 D,21116,518,24,Vía Panamericana,Jirón Francisco de Zela,-8.0467316,-79.0857735,-8.1164975,-79.0166411,warning
19965802,M-35 D,18491,518,43,Vía Panamericana,Avenida Del Contador,-8.0467316,-79.0857735,-8.1178827,-79.0053727,warning
19965840,M-35 D,18548,518,43,Vía Panamericana,Avenida Del Contador,-8.0467316,-79.0857735,-8.1178827,-79.0053727,warning
19965847,M-35 D,18446,518,43,Vía Panamericana,Avenida Del Contador,-8.0467316,-79.0857735,-8.1178827,-79.0053727,warning
19965776,M-35 D,19281,43,512,Avenida Del Contador,Vía Panamericana,-8.1178827,-79.0053727,-8.0467635,-79.0856919,warning
19965837,M-35 D,18763,43,512,Avenida Del Contador,Vía Panamericana,-8.1178827,-79.0053727,-8.0467635,-79.0856919,warning
19968210,C-17 F,15480,117,391,Ciudad de Dios,Avenida Juan Pablo II,-8.0648973,-78.9940414,-8.1343542,-79.0530435,warning
19968338,C-17 F,16176,391,133,Avenida Juan Pablo II,Ciudad de Dios,-8.1343542,-79.0530435,-8.0646087,-78.9939348,warning
19972504,C-36 Y,19208,391,111,San Andrés 5ta Etapa,Víctor Raúl Haya de La Torre,-8.1343542,-79.0530435,-8.0874654,-78.9625956,warning
19972505,C-36 Y,18914,57,390,Víctor Raúl Haya de La Torre,San Andrés 5ta Etapa,-8.0871706,-78.9622093,-8.1342863,-79.0531214,warning
19959207,M-07 V,17062,127,357,Avenida San Pedro,Avenida Libertad,-8.0677207,-79.0705326,-8.1385973,-79.0572438,warning
19959217,M-08 A,22994,72,357,Via Panamericana Norte,Avenida Libertad,-7.9982972,-79.0730870,-8.1385973,-79.0572438,warning
19961769,M-09 BC,20186,127,357,Avenida San Pedro,Avenida Libertad,-8.0677207,-79.0705326,-8.1385973,-79.0572438,warning
19961795,M-10 B1,19609,51,357,Avenida Los Tulipanes,Avenida Libertad,-8.0598135,-79.0830453,-8.1385973,-79.0572438,warning
