nombre_kml,lat,lon,capa_kml,gtfs_mas_cercano,distancia_metros
PAT-1,-8.051135145999979,-79.00134169099994,Consolidado,PAT-16,368
PAT-10 / PAT-11,-8.064585597999951,-79.00639285099999,Consolidado,PAT-57,555
PAT-100 / PAT-101,-8.063398786999926,-79.01606513799999,Consolidado,Avenida Dos,199
PAT-104 / PAT-105,-8.064423079999926,-79.02153656099995,Consolidado,Prolongación Avenida 12 de Noviembre y Avenida Albania,98
PAT-106 / PAT-69,-8.058157293999955,-79.02316875699995,Consolidado,PAT-134,227
PAT-107,-8.06590373499995,-79.01732041299994,Consolidado,Avenida Dos,112
PAT-108 / PAT-109,-8.062232044999973,-79.01798478899997,Consolidado,PAT-102,213
PAT-112 / PAT-113,-8.066300843999954,-79.01938965199997,Consolidado,PAT-97,124
PAT-114 / PAT-115,-8.063492835999966,-79.01999183499998,Consolidado,PAT-102,132
PAT-117 / PAT-118,-8.061355005999928,-79.01967253299995,Consolidado,PAT-116,149
PAT-119,-8.06304171599993,-79.02072328099996,Consolidado,Avenida Albania,90
PAT-12 / PAT-4,-8.061797411999976,-79.00463073799995,Consolidado,PAT-57,453
PAT-120 / PAT-121,-8.062237078999942,-79.02169396499994,Consolidado,Avenida Albania,91
PAT-122 / PAT-123,-8.059802729999944,-79.02204969899998,Consolidado,PAT-116,175
PAT-126 / PAT-127,-8.058975937999946,-79.01941342199996,Consolidado,PAT-128,69
PAT-13,-8.05832701099996,-79.00349920799994,Consolidado,PAT-30,251
PAT-130 / PAT-131,-8.057514437999941,-79.02196766599997,Consolidado,PAT-134,163
PAT-133,-8.057685056999958,-79.02032910699995,Consolidado,PAT-128,223
PAT-135 / PAT-136,-8.070127295999953,-79.02964599399996,Consolidado,PAT-142,333
PAT-137 / PAT-138 / PAT-139,-8.07026287399998,-79.03256121899994,Consolidado,PAT-142,309
PAT-140 / PE-331,-8.066938113999981,-79.03286928399996,Consolidado,PAT-142,180
PAT-143 / PAT-144,-8.063680601999977,-79.02830443199997,Consolidado,Avenida Dinamarca y Prolongación Calle 7 de Julio,78
PAT-145 / PAT-146,-8.064682964999975,-79.03005104499994,Consolidado,Avenida Dinamarca y Prolongación Calle 7 de Julio,208
PAT-147 / PAT-148,-8.06580921899996,-79.03005419399994,Consolidado,Prolongación Calle 7 de Julio,203
PAT-149 / PAT-150,-8.064410453999926,-79.03195656599996,Consolidado,PAT-154,200
PAT-15,-8.051215774999946,-79.00127847299996,Consolidado,PAT-16,374
PAT-151 / PAT-152,-8.06497719899994,-79.03275909599995,Consolidado,PAT-154,268
PAT-156 / PAT-157,-8.066124714999944,-79.03024147799994,Consolidado,Prolongación Calle 7 de Julio,208
PAT-18 / PAT-19,-8.067626188999952,-79.01298216299995,Consolidado,PAT-75,271
PAT-20 / PAT-21,-8.066668323999977,-79.01025003399997,Consolidado,PAT-75,521
PAT-22 / PAT-23,-8.065718856999979,-79.00775336399994,Consolidado,PAT-51,623
PAT-24 / PAT-25,-8.065123325999934,-79.00465815599995,Consolidado,Calle Inca Roca y Calle Ascencio Vergara,688
PAT-26 / PAT-27,-8.066069867999943,-79.00698715099998,Consolidado,Calle Inca Roca y Calle Ascencio Vergara,571
PAT-28 / PAT-5,-8.06304146499997,-79.00756391899995,Consolidado,PAT-57,351
PAT-29 / PAT-6,-8.06129088299997,-79.00665610099998,Consolidado,PAT-57,234
PAT-3,-8.058287795999945,-79.00359419899996,Consolidado,PAT-30,240
PAT-32,-8.054509934999942,-79.00470714799997,Consolidado,PAT-14,248
PAT-33,-8.05455939199993,-79.00461937699998,Consolidado,PAT-14,238
PAT-34,-8.052422632999935,-79.00595739599999,Consolidado,Sin nombre,324
PAT-35,-8.052547279999942,-79.00607846199995,Consolidado,Sin nombre,338
PAT-36,-8.049568387999955,-79.00328979699998,Consolidado,Sin nombre,288
PAT-38 / PAT-39,-8.050613487999954,-79.00796285999996,Consolidado,Calle 10,246
PAT-40,-8.053878207999958,-79.00903499699996,Consolidado,PAT-43,395
PAT-41,-8.053940072999978,-79.00895348399996,Consolidado,PAT-43,391
PAT-46,-8.065606698999943,-79.01195133499994,Consolidado,PAT-75,336
PAT-47,-8.065517671999942,-79.01197589099996,Consolidado,PAT-75,336
PAT-48,-8.063631015999931,-79.01088111099995,Consolidado,PAT-51,328
PAT-49,-8.063565638999933,-79.01080149499995,Consolidado,PAT-51,319
PAT-54 / PAT-55,-8.059433952999939,-79.01040088299999,Consolidado,PAT-51,145
PAT-62,-8.060905951999928,-79.02311118599994,Consolidado,Avenida Dinamarca y Prolongación Avenida 12 de Noviembre,277
PAT-63,-8.061014322999938,-79.02304459699997,Consolidado,Avenida Dinamarca y Prolongación Avenida 12 de Noviembre,264
PAT-64,-8.069072736999942,-79.02150285099998,Consolidado,PAT-79,155
PAT-65,-8.068996761999927,-79.02160755099999,Consolidado,PAT-79,158
PAT-67,-8.06550434299993,-79.02654472199998,Consolidado,Calle China y Prolongación Avenida Las Margaritas y Avenida Dinamarca,156
PAT-68,-8.061843880999959,-79.02560772599998,Consolidado,Calle China y Prolongación Avenida Las Margaritas y Avenida Dinamarca,270
PAT-7,-8.06075878799993,-79.00837496499997,Consolidado,PAT-57,88
PAT-70,-8.067409316999942,-79.01546614099993,Consolidado,PAT-75,149
PAT-71 / PAT-77,-8.063673058999939,-79.01617686899993,Consolidado,Avenida Dos,167
