stop_id,stop_name,lat,lon
1098626822,Avenida Abelardo Quiñones y Calle Santa Rosa,-8.1874621,-78.9837518
13381640382,Avenida Albania,-8.0630419,-79.0215375
2610202760,Avenida América Oeste y Avenida Antenor Orrego,-8.1165216,-79.0441158
1088227363,Avenida América Sur y Avenida César Vallejo,-8.1027749,-79.0110643
316254431,Avenida América Sur y Plaza Miguel Grau,-8.1230626,-79.0229815
1091407281,Avenida Circunvalación y Avenida Victor Larco Herrera,-8.0733842,-79.1193472
11812523500,Avenida Dinamarca y Prolongación Avenida 12 de Noviembre,-8.0633489,-79.0226286
2339884498,Avenida Dinamarca y Prolongación Calle 7 de Julio,-8.0643711,-79.0281907
1098586293,Avenida Dos,-8.0649822,-79.0169131
1098593590,Avenida Federico Villarreal y Avenida Honorio Delgado,-8.103047,-79.0022986
5282388366,Avenida Independencia,-8.193799,-79.0012087
5282388367,Avenida Independencia y Calle Loreto,-8.190389,-79.0046158
1098612874,Avenida Independencia y Calle Miguiel Graú,-8.1882523,-79.0066337
5491294966,Avenida José Faustino Sánchez Carrión,-8.053093,-79.0701736
1098594928,Avenida José Faustino Sánchez Carrión y Jirón Brasil,-8.0499128,-79.068519
633650896,Avenida José Gabriel Condorcanqui y Avenida Federico Villareal,-8.0855477,-79.0433957
334658242,Avenida Julian Arce,-8.0874654,-78.9625956
11828708309,Avenida Libertad,-8.1385614,-79.057299
11828708308,Avenida Libertad,-8.1385973,-79.0572438
5087571031,Avenida Libertad,-8.0894982,-78.995111
1098649152,Avenida Libertad y Calle Chanchani,-8.0895175,-78.9950362
2604535915,Avenida Luis Condemarín y Avenida Carlos Larco Cox,-8.0852976,-78.9606319
1098599033,Avenida Mansiche y Calle Liverpool,-8.1019746,-79.0422055
1015292533,Avenida Manuel Seoane,-8.1478411,-79.0526706
1098604575,Avenida Metropolitana 1,-8.0912942,-79.0418795
1873334289,Avenida Miguel Grau,-8.0131333,-79.0682182
1873334296,Avenida Miguel Grau,-8.0143077,-79.0678331
5467507240,Avenida Nuevo Trujillo y Avenida el Sol,-8.0677207,-79.0705326
1098635577,Avenida Pisacc,-8.0638379,-79.0798396
5463831053,Avenida Pisacc y Avenida Alan Garcia,-8.0634372,-79.080524
316265238,Avenida Prolongación César Vallejo y Avenida Fátima,-8.1317665,-79.0336459
1189541544,Avenida Prolongación César Vallejo y Avenida Fátima,-8.1316825,-79.0335786
1089222529,Avenida Victor Larco Herrera,-8.1442832,-79.0556964
1098620244,Avenida Victor Raul Haya de la Torre y Calle 5,-8.1304479,-79.045232
11030442249,Avenida el Sol,-8.0675812,-79.0706575
5491675670,Avenida el Triunfo,-8.0868005,-79.1156834
5491675677,Avenida la Paz,-8.0902207,-79.1155744
1098626330,Avenida las Magnolias y Calle San Nicolas,-8.0710228,-79.0163343
5082107599,Avenida las Magnolias y Calle San Nicolas,-8.0709414,-79.0163485
1098649277,Avenida los Pajuiles y Calle 5,-8.1280675,-79.0431823
1098622819,Avenida los Tulipanes y Avenida los Cipreses,-8.0598135,-79.0830453
3133843835,Calle 10,-8.0485034,-79.0072871
5483037373,Calle 21 de Octubre y Avenida los Laureles,-8.0889143,-79.0227511
1098595837,Calle 3 y Calle 8,-8.1133038,-79.0461236
1098627171,Calle 5 y Avenida los Pajuiles,-8.1279873,-79.0431418
5480680612,Calle Andres Razuri y Jirón Abancay,-8.0696986,-78.9903753
1089222514,Calle Antonio Mathey,-8.1503953,-79.0489582
1091301861,Calle Callao y Avenida Manuel Seoane,-8.1468076,-79.0518622
