nombre,lat,lon,capa,fid,elaborado,supervisor
PAT-1,-8.051135145999979,-79.00134169099994,Consolidado,938,,
PAT-10,-8.064585597999951,-79.00639285099999,Consolidado,947,,
PAT-100,-8.063398786999926,-79.01606513799999,Consolidado,1037,,
PAT-101,-8.063416384999925,-79.01604961799995,Consolidado,1038,,
PAT-102,-8.063934065999945,-79.01888099199994,Consolidado,1039,,
PAT-103,-8.063995990999956,-79.01887701199996,Consolidado,1040,,
PAT-104,-8.064423079999926,-79.02153656099995,Consolidado,1041,,
PAT-105,-8.06447987699994,-79.02153014899994,Consolidado,1042,,
PAT-106,-8.058194558999958,-79.02313142699995,Consolidado,1043,,
PAT-107,-8.06590373499995,-79.01732041299994,Consolidado,1044,,
PAT-108,-8.062232044999973,-79.01798478899997,Consolidado,1045,,
PAT-109,-8.062226607999946,-79.01793536699995,Consolidado,1046,,
PAT-11,-8.064537413999972,-79.00640028799995,Consolidado,948,,
PAT-110,-8.060521414999926,-79.01686954199994,Consolidado,1047,,
PAT-111,-8.060500572999956,-79.01681629599994,Consolidado,1048,,
PAT-112,-8.066300843999954,-79.01938965199997,Consolidado,1049,,
PAT-113,-8.066304694999928,-79.01942890999999,Consolidado,1050,,
PAT-114,-8.063492835999966,-79.01999183499998,Consolidado,1051,,
PAT-115,-8.063457501999949,-79.01991972499997,Consolidado,1052,,
PAT-116,-8.060344120999957,-79.02056167199999,Consolidado,1053,,
PAT-117,-8.061355005999928,-79.01967253299995,Consolidado,1054,,
PAT-118,-8.061327846999973,-79.01967400599995,Consolidado,1055,,
PAT-119,-8.06304171599993,-79.02072328099996,Consolidado,1056,,
PAT-12,-8.061838597999952,-79.00458590899996,Consolidado,949,,
PAT-120,-8.062237078999942,-79.02169396499994,Consolidado,1057,,
PAT-121,-8.062215728999945,-79.02164960899995,Consolidado,1058,,
PAT-122,-8.059802729999944,-79.02204969899998,Consolidado,1059,,
PAT-123,-8.059816010999953,-79.02212467699997,Consolidado,1060,,
PAT-124,-8.05977259499997,-79.01831344399994,Consolidado,1061,,
PAT-125,-8.060056170999928,-79.01846664999994,Consolidado,1062,,
PAT-126,-8.058975937999946,-79.01941342199996,Consolidado,1063,,
PAT-127,-8.058932797999944,-79.01938723199999,Consolidado,1064,,
PAT-128,-8.059564914999953,-79.01961953399996,Consolidado,1065,,
PAT-129,-8.059625629999971,-79.01959702599999,Consolidado,1066,,
PAT-13,-8.05832701099996,-79.00349920799994,Consolidado,950,,
