kml_nombre,kml_lat,kml_lon,kml_capa,kml_category,action,osm_id,osm_name,distance_m,notes
PAT-102,-8.0639341,-79.0188810,Consolidado,green,new,,,,
PAT-110,-8.0605214,-79.0168695,Consolidado,green,new,,,,
PAT-116,-8.0603441,-79.0205617,Consolidado,green,new,,,,
PAT-124,-8.0597726,-79.0183134,Consolidado,green,new,,,,
PAT-125,-8.0600562,-79.0184666,Consolidado,green,new,,,,
PAT-128,-8.0595649,-79.0196195,Consolidado,green,new,,,,
PAT-132,-8.0548494,-79.0233756,Consolidado,green,new,,,,
PAT-134,-8.0561907,-79.0226096,Consolidado,green,new,,,,
PAT-14,-8.0547912,-79.0024693,Consolidado,green,new,,,,
PAT-141,-8.0677742,-79.0314110,Consolidado,green,new,,,,
PAT-153,-8.0626287,-79.0322312,Consolidado,green,new,,,,
PAT-155,-8.0612121,-79.0287551,Consolidado,green,new,,,,
PAT-16,-8.0480134,-79.0002307,Consolidado,green,new,,,,
PAT-17,-8.0476441,-79.0000337,Consolidado,green,new,,,,
PAT-30,-8.0576025,-79.0056593,Consolidado,green,new,,,,
PAT-31,-8.0576508,-79.0055770,Consolidado,green,new,,,,
PAT-37,-8.0487249,-79.0063687,Consolidado,green,new,,,,
PAT-42,-8.0572958,-79.0100296,Consolidado,green,new,,,,
PAT-44,-8.0590833,-79.0080298,Consolidado,green,new,,,,
PAT-50,-8.0607019,-79.0104078,Consolidado,green,new,,,,
PAT-52,-8.0596660,-79.0126941,Consolidado,green,new,,,,
PAT-53,-8.0597551,-79.0127572,Consolidado,green,new,,,,
PAT-56,-8.0600403,-79.0083312,Consolidado,green,new,,,,
PAT-58,-8.0578289,-79.0121747,Consolidado,green,new,,,,
PAT-60,-8.0613612,-79.0144460,Consolidado,green,new,,,,
PAT-66,-8.0695672,-79.0259798,Consolidado,green,new,,,,
PAT-72,-8.0697992,-79.0258133,Consolidado,green,new,,,,
PAT-75,-8.0661640,-79.0149551,Consolidado,green,new,,,,
PAT-80,-8.0682930,-79.0176974,Consolidado,green,new,,,,
PAT-83,-8.0680815,-79.0178136,Consolidado,green,new,,,,
PAT-88,-8.0669263,-79.0283708,Consolidado,green,new,,,,
PAT-90,-8.0641486,-79.0272476,Consolidado,green,new,,,,
PAT-93,-8.0652866,-79.0222233,Consolidado,green,new,,,,
PAT-94,-8.0653032,-79.0223361,Consolidado,green,new,,,,
PAT-95,-8.0660813,-79.0149956,Consolidado,green,new,,,,
PAT-96,-8.0656215,-79.0203136,Consolidado,green,new,,,,
PE-100,-8.0515912,-79.0547485,Consolidado,green,new,,,,
PE-105,-8.0459220,-79.0524655,Consolidado,green,new,,,,
PE-108,-8.0478361,-79.0496626,Consolidado,green,new,,,,
PE-110,-8.0517486,-79.0549211,Consolidado,green,new,,,,
PE-113,-8.0477868,-79.0494279,Consolidado,green,new,,,,
PE-133,-8.0457675,-79.0698795,Consolidado,green,new,,,,
PE-146,-8.0488078,-79.0658456,Consolidado,green,new,,,,
PE-148,-8.0512635,-79.0609876,Consolidado,green,new,,,,
PE-150,-8.0527492,-79.0668335,Consolidado,green,new,,,,
PE-161,-8.0665879,-79.0684644,Consolidado,green,new,,,,
PE-170,-8.0614915,-79.0745726,Consolidado,green,new,,,,
PE-172,-8.0643119,-79.0728928,Consolidado,green,new,,,,
PE-189,-8.0675391,-79.0506094,Consolidado,green,new,,,,
PE-192,-8.0625638,-79.0492706,Consolidado,green,new,,,,
PE-198,-8.0744327,-79.0477654,Consolidado,green,new,,,,
PE-202,-8.0731883,-79.0532348,Consolidado,green,new,,,,
PE-205,-8.0677227,-79.0568391,Consolidado,green,new,,,,
PE-207,-8.0639917,-79.0576940,Consolidado,green,new,,,,
PE-208,-8.0628875,-79.0548493,Consolidado,green,new,,,,
PE-213,-8.0725750,-79.0606207,Consolidado,green,new,,,,
PE-225,-8.0788273,-79.0463248,Consolidado,green,new,,,,
PE-227,-8.0557104,-79.0485844,Consolidado,green,new,,,,
PE-231,-8.0605411,-79.0478548,Consolidado,green,new,,,,
PE-232,-8.0614838,-79.0492407,Consolidado,green,new,,,,
PE-233,-8.0621381,-79.0520178,Consolidado,green,new,,,,
PE-237,-8.0496012,-79.0563403,Consolidado,green,new,,,,
PE-238,-8.0656021,-79.0449278,Consolidado,green,new,,,,
PE-239,-8.0667633,-79.0452012,Consolidado,green,new,,,,
PE-240,-8.0684283,-79.0448327,Consolidado,green,new,,,,
PE-242,-8.0705267,-79.0433503,Consolidado,green,new,,,,
PE-243,-8.0719115,-79.0416660,Consolidado,green,new,,,,
PE-245,-8.0822409,-79.0524368,Consolidado,green,new,,,,
PE-253,-8.0723882,-79.0642983,Consolidado,green,new,,,,
PE-255,-8.0719676,-79.0648165,Consolidado,green,new,,,,
PE-256,-8.0721480,-79.0643917,Consolidado,green,new,,,,
PE-265,-8.0674504,-79.0636363,Consolidado,green,new,,,,
PE-266,-8.0676540,-79.0639838,Consolidado,green,new,,,,
PE-267,-8.0657685,-79.0619525,Consolidado,green,new,,,,
PE-271,-8.0596597,-79.0533255,Consolidado,green,new,,,,
PE-272,-8.0595439,-79.0531725,Consolidado,green,new,,,,
PE-273,-8.0566946,-79.0542699,Consolidado,green,new,,,,
PE-274,-8.0561947,-79.0542786,Consolidado,green,new,,,,
PE-276,-8.0494699,-79.0567702,Consolidado,green,new,,,,
PE-277,-8.0529364,-79.0560623,Consolidado,green,new,,,,
PE-280,-8.0536123,-79.0579846,Consolidado,green,new,,,,
PE-29,-8.0667101,-79.0680936,Consolidado,green,new,,,,
PE-3,-8.0498996,-79.0629984,Consolidado,green,new,,,,
PE-303,-8.0840322,-79.0441866,Consolidado,green,new,,,,
PE-304,-8.0839587,-79.0440018,Consolidado,green,new,,,,
PE-305,-8.0814882,-79.0451167,Consolidado,green,new,,,,
PE-306,-8.0815809,-79.0453013,Consolidado,green,new,,,,
PE-327,-8.0857501,-79.0314262,Consolidado,green,new,,,,
PE-33,-8.0682187,-79.0715709,Consolidado,green,new,,,,
PE-336,-8.0735667,-79.0337519,Consolidado,green,new,,,,
PE-351,-8.0605491,-79.0422778,Consolidado,green,new,,,,
