relation_id,ref,name,n_paradas_v1,n_paradas_v2,paradas_nuevas,paradas_removidas,paradas_repetidas
19946662,M-01 C,Via Panamericana Norte → Avenida Manuel Seoane,58,58,0,0,0
19946938,M-01 C,Avenida Manuel Seoane → Via Panamericana Norte,42,42,0,0,0
19950139,M-02 A,Calle Turquesas → Avenida Manuel Seoane,56,56,0,0,0
19950214,M-02 A,Avenida Manuel Seoane → Calle Turquesas,49,49,0,0,0
19953369,M-03 B,Ciudad de Dios → Ciudad de Dios,70,70,0,0,1
19953601,M-04 A,Cerro La Virgen → Cerro La Virgen,46,46,0,0,0
19959151,M-05 H,Avenida la Paz → Avenida la Paz,84,84,0,0,4
19959184,M-06 B,Avenida la Paz → Avenida Victor Raul Haya de la Torre,68,68,0,0,0
19959196,M-06 B,Avenida Victor Larco Herrera → Avenida la Paz,56,56,0,0,0
19959202,M-07 V,Avenida Libertad → Avenida San Pedro,31,31,0,0,0
19959207,M-07 V,Avenida San Pedro → Avenida Libertad,37,37,0,0,0
19959214,M-08 A,Avenida Libertad → Via Panamericana Norte,45,45,0,0,0
19959217,M-08 A,Via Panamericana Norte → Avenida Libertad,50,50,0,0,0
19959224,M-09 BC,Avenida Libertad → Avenida San Pedro,43,43,0,0,0
19961769,M-09 BC,Avenida San Pedro → Avenida Libertad,44,44,0,0,0
19961792,M-10 B1,Avenida Libertad → Avenida Los Tulipanes,38,38,0,0,0
19961795,M-10 B1,Avenida Los Tulipanes → Avenida Libertad,43,43,0,0,0
19961869,M-11 D,Avenida San Pedro → Via Panamericana Norte,63,63,0,0,0
19961898,M-11 D,Via Panamericana Norte → Avenida San Pedro,64,64,0,0,0
19961919,M-12 C,Avenida Libertad → Via Panamericana Norte,38,38,0,0,0
19961936,M-12 C,Via Panamericana Norte → Avenida Libertad,42,42,0,0,0
19961948,M-36 LV,Calle Virgen de la Puerta → Avenida Libertad,56,56,0,0,0
19961958,M-36 LV,Avenida Libertad → Calle Virgen de la Puerta,57,57,0,0,0
19961962,M-14 C3,Ciudad de Dios → Óvalo Larco,30,30,0,0,0
19962130,M-16 C,Avenida Vallejo → Calle 8,62,62,0,0,0
19962183,M-16 C,Calle 8 → Avenida Vallejo,54,54,0,0,0
19962194,M-19 A,Manzana Ñ → Calle 8,28,28,0,0,0
19962204,M-18 C1,Avenida Dos → Avenida Dos,66,66,0,0,0
19962213,M-20 C,Sector Nuevo Horizonte → Avenida 12 de Noviembre,64,64,0,0,0
19962218,M-20 C,Sector Nuevo Horizonte → Avenida 12 de Noviembre,67,67,0,0,0
19962222,M-20 C,Avenida 12 de Noviembre → Sector Nuevo Horizonte,67,67,0,0,0
19962228,M-20 C,Avenida 12 de Noviembre → Sector Nuevo Horizonte,66,66,0,0,0
19962230,M-21 A,Avenida 12 de Noviembre → Sector Nuevo Horizonte,62,62,0,0,0
19962257,M-21 A,Sector Nuevo Horizonte → Avenida 12 de Noviembre,63,63,0,0,0
19962263,M-22 F,Avenida 12 de Noviembre → Avenida Juan Pablo II,39,39,0,0,0
19962271,M-22 F,Avenida Juan Pablo II → Prolongación Avenida 12 de Noviembre,44,44,0,0,0
19962272,M-19 A,Calle 8 → Manzana Ñ,30,30,0,0,0
19962280,M-28 A,Primavera III → Avenida los Pajuiles,45,45,0,0,0
19962287,M-23 B,Calle Atahualpa → Calle Pedro Ruiz Gallo,30,30,0,0,0
19962292,M-23 B,Calle Pedro Ruiz Gallo → Calle Atahualpa,39,39,0,0,0
19962294,M-23 B,Calle Pedro Ruiz Gallo → Calle 7 de Julio,39,39,0,0,0
19962298,M-23 B,Calle 7 de Julio → Calle Pedro Ruiz Gallo,30,30,0,0,0
19962300,M-23 B,Calle Pedro Ruiz Gallo → Via Evitamiento Milagro,39,39,0,0,0
19962303,M-23 B,Via Evitamiento Milagro → Calle Pedro Ruiz Gallo,36,36,0,0,0
19962313,M-23 B,Calle Pedro Ruiz Gallo → Via Evitamiento Milagro,41,41,0,0,0
19962315,M-23 B,Via Evitamiento Milagro → Calle Pedro Ruiz Gallo,32,32,0,0,0
19962318,M-24 A,Avenida Libertad → Avenida América Sur,22,22,0,0,0
19962320,M-28 A,Avenida los Pajuiles → Primavera III,39,39,0,0,0
19962323,M-24 A,Avenida América Sur → Avenida Libertad,22,22,0,0,0
19962362,M-25 A,Calle Liverpool → Calle F,37,37,0,0,0
19962394,M-25 A,Calle F → Calle Liverpool,42,42,0,0,0
19962432,M-26 B,Futuro Barrio 5C → Calle Alfonso Ugarte,73,73,0,0,1
19962502,M-29 B,Primavera → Calle Liverpool,52,52,0,0,0
19965057,M-31 A,Avenida América Sur → Calle Nuevo Indoamérica,47,47,0,0,0
19965743,M-34 A,Calle Santa Ana → Calle Los Pensamientos,50,50,0,0,0
19965745,M-34 A,Calle Los Pensamientos → Calle Santa Ana,52,52,0,0,0
19965750,M-34 A,Calle Santa Ana → Calle Los Pensamientos,54,54,0,0,0
19965773,M-34 A,Calle Los Pensamientos → Calle Santa Ana,57,57,0,0,0
19965775,M-35 D,Vía Panamericana → Avenida Del Contador,50,50,0,0,0
19965776,M-35 D,Avenida Del Contador → Vía Panamericana,44,44,0,0,0
19965801,M-35 D,Vía Panamericana → Jirón Francisco de Zela,58,58,0,0,0
19965802,M-35 D,Vía Panamericana → Avenida Del Contador,48,48,0,0,0
19965837,M-35 D,Avenida Del Contador → Vía Panamericana,43,43,0,0,0
19965840,M-35 D,Vía Panamericana → Avenida Del Contador,45,45,0,0,0
19965847,M-35 D,Vía Panamericana → Avenida Del Contador,47,47,0,0,0
19965854,M-35 D,Avenida Del Contador → Vía Panamericana,40,40,0,0,0
