relation_id,type,route,ref,name,from,to,operator,network,colour,public_transport_version
19965855,route,bus,C-01 B,Calle Diego Quispe Tito → Calle José la Rivera,Calle Diego Quispe Tito,Calle José la Rivera,NUEVOS GIRASOLES S.A.,Transporte Público Urbano Trujillo,#00cc00,2
19972060,route,bus,C-01 B,Calle José la Rivera → Calle Diego Quispe Tito,Calle José la Rivera,Calle Diego Quispe Tito,NUEVOS GIRASOLES S.A.,Transporte Público Urbano Trujillo,#00cc00,2
19966163,route,bus,C-02 H,Avenida Alan García → Avenida Federico Villarreal,Avenida Alan García,Avenida Federico Villarreal,NUEVOS GIRASOLES S.A.,Transporte Público Urbano Trujillo,#00cc00,2
19966210,route,bus,C-02 H,Avenida Federico Villarreal → Avenida Alan García,Avenida Federico Villarreal,Avenida Alan García,NUEVOS GIRASOLES S.A.,Transporte Público Urbano Trujillo,#00cc00,2
19966215,route,bus,C-03 JJ,Calle Santa Rosa → Calle de los Jasmines,Calle Santa Rosa,Calle de los Jasmines,NUEVOS GIRASOLES S.A.,Transporte Público Urbano Trujillo,#00cc00,2
19966201,route,bus,C-03 JJ,Calle de los Jasmines → Calle Santa Rosa,Calle de los Jasmines,Calle Santa Rosa,NUEVOS GIRASOLES S.A.,Transporte Público Urbano Trujillo,#00cc00,2
19966224,route,bus,C-04 XS,Avenida Federico Villarreal → Calle de los Jasmines,Avenida Federico Villarreal,Calle de los Jasmines,MODERNO GIRASOLES EXPRESS S.A,Transporte Público Urbano Trujillo,#FFFF00,2
19966218,route,bus,C-04 XS,Calle de los Jasmines → Avenida Federico Villarreal,Calle de los Jasmines,Avenida Federico Villarreal,MODERNO GIRASOLES EXPRESS S.A,Transporte Público Urbano Trujillo,#FFFF00,2
19966253,route,bus,C-05 B1,Avenida Federico Villarreal → Calle Jirón Cuba,Avenida Federico Villarreal,Calle Jirón Cuba,MODERNO GIRASOLES EXPRESS S.A,Transporte Público Urbano Trujillo,#FFFF00,2
19966226,route,bus,C-05 B1,Calle Jirón Cuba → Avenida Federico Villarreal,Calle Jirón Cuba,Avenida Federico Villarreal,MODERNO GIRASOLES EXPRESS S.A,Transporte Público Urbano Trujillo,#FFFF00,2
19966270,route,bus,C-06 K,Calle Señor de Los Milagros → El Reposo,Calle Señor de Los Milagros,El Reposo,TITANIC EXPRESS S.A.,Transporte Público Urbano Trujillo,#9999FF,2
19966264,route,bus,C-06 K,El Reposo → Calle Señor de Los Milagros,El Reposo,Calle Señor de Los Milagros,TITANIC EXPRESS S.A.,Transporte Público Urbano Trujillo,#9999FF,2
19966297,route,bus,C-07 Z1,Calle 9 de Octubre → El Reposo,Calle 9 de Octubre,El Reposo,TITANIC EXPRESS S.A.,Transporte Público Urbano Trujillo,#9999FF,2
19966288,route,bus,C-07 Z1,El Reposo → Calle 9 de Octubre,El Reposo,Calle 9 de Octubre,TITANIC EXPRESS S.A.,Transporte Público Urbano Trujillo,#9999FF,2
19967351,route,bus,C-08 O,Calle Jirón los Algarobos → Calle San Martín,Calle Jirón los Algarobos,Calle San Martín,TITANIC EXPRESS S.A.,Transporte Público Urbano Trujillo,#9999FF,2
19972065,route,bus,C-08 O,Calle San Martín → Calle Jirón los Algarobos,Calle San Martín,Calle Jirón los Algarobos,TITANIC EXPRESS S.A.,Transporte Público Urbano Trujillo,#9999FF,2
19967536,route,bus,C-09 E,Calle San Gabriel → Distrito Huanchaco,Calle San Gabriel,Distrito Huanchaco,ARCO IRIS EXPRESS S.A.,Transporte Público Urbano Trujillo,#3366FF,2
19967529,route,bus,C-09 E,Distrito Huanchaco → Calle San Gabriel,Distrito Huanchaco,Calle San Gabriel,ARCO IRIS EXPRESS S.A.,Transporte Público Urbano Trujillo,#3366FF,2
19967562,route,bus,C-10 M,Avenida Los Incas → Campiña de Moche,Avenida Los Incas,Campiña de Moche,MOCHICA CHIMÚ S.R.L,Transporte Público Urbano Trujillo,#CC9900,2
19967551,route,bus,C-10 M,Campiña de Moche → Avenida Los Incas,Campiña de Moche,Avenida Los Incas,MOCHICA CHIMÚ S.R.L,Transporte Público Urbano Trujillo,#CC9900,2
19967604,route,bus,C-11 T1,Alto Porvenir → Calle Jirón Santa Isabel,Alto Porvenir,Calle Jirón Santa Isabel,SAN ISIDRO LABRADOR S.A.,Transporte Público Urbano Trujillo,#FF0000,2
19967670,route,bus,C-11 T1,Alto Porvenir → Calle Jirón Santa Isabel,Alto Porvenir,Calle Jirón Santa Isabel,SAN ISIDRO LABRADOR S.A.,Transporte Público Urbano Trujillo,#FF0000,2
19967678,route,bus,C-11 T1,Alto Porvenir → Panamericana Norte,Alto Porvenir,Panamericana Norte,SAN ISIDRO LABRADOR S.A.,Transporte Público Urbano Trujillo,#FF0000,2
19967679,route,bus,C-11 T1,Alto Porvenir → Panamericana Norte,Alto Porvenir,Panamericana Norte,SAN ISIDRO LABRADOR S.A.,Transporte Público Urbano Trujillo,#FF0000,2
19990115,route,bus,C-11 T1,Alto Porvenir → Panamericana Norte,Alto Porvenir,Panamericana Norte,SAN ISIDRO LABRADOR S.A.,Transporte Público Urbano Trujillo,#FF0000,2
19967583,route,bus,C-11 T1,Calle Jirón Santa Isabel → Alto Porvenir,Calle Jirón Santa Isabel,Alto Porvenir,SAN ISIDRO LABRADOR S.A.,Transporte Público Urbano Trujillo,#FF0000,2
19967639,route,bus,C-11 T1,Calle Jirón Santa Isabel → Alto Porvenir,Calle Jirón Santa Isabel,Alto Porvenir,SAN ISIDRO LABRADOR S.A.,Transporte Público Urbano Trujillo,#FF0000,2
19967674,route,bus,C-11 T1,Panamericana Norte → Alto Porvenir,Panamericana Norte,Alto Porvenir,SAN ISIDRO LABRADOR S.A.,Transporte Público Urbano Trujillo,#FF0000,2
19990111,route,bus,C-11 T1,Panamericana Norte → Alto Porvenir,Panamericana Norte,Alto Porvenir,SAN ISIDRO LABRADOR S.A.,Transporte Público Urbano Trujillo,#FF0000,2
19968109,route,bus,C-12 B,Carlos García Ronceros → Sector Taquila,Carlos García Ronceros,Sector Taquila,SANTA LUCIA DE MOCHE S.R.L.,Transporte Público Urbano Trujillo,#ff6633,2
19968101,route,bus,C-12 B,Sector Taquila → Carlos García Ronceros,Sector Taquila,Carlos García Ronceros,SANTA LUCIA DE MOCHE S.R.L.,Transporte Público Urbano Trujillo,#ff6633,2
19972195,route,bus,C-13 D,Alto Trujillo → Sector Taquila,Alto Trujillo,Sector Taquila,NUEVO DIAMANTE S.A.,Transporte Público Urbano Trujillo,#FF6633,2
19968121,route,bus,C-13 D,Avenida 12 de Noviembre → Calle Miguiel Graú,Avenida 12 de Noviembre,Calle Miguiel Graú,MOCHICA S.A.,Transporte Público Urbano Trujillo,#006600,2
19968127,route,bus,C-13 D,Calle Miguiel Graú → Avenida 12 de Noviembre,Calle Miguiel Graú,Avenida 12 de Noviembre,MOCHICA S.A.,Transporte Público Urbano Trujillo,#006600,2
19972191,route,bus,C-13 D,Sector Taquila → Alto Trujillo,Sector Taquila,Alto Trujillo,NUEVO DIAMANTE S.A.,Transporte Público Urbano Trujillo,#FF6633,2
19968169,route,bus,C-14 S,Calle José Galvez → Campiña de Moche,Calle José Galvez,Campiña de Moche,LOS GIRASOLES SERVICE S.R.L.,Transporte Público Urbano Trujillo,#e69138,2
19972103,route,bus,C-14 S,Campiña de Moche → Calle José Galvez,Campiña de Moche,Calle José Galvez,LOS GIRASOLES SERVICE S.R.L.,Transporte Público Urbano Trujillo,#e69138,2
19973958,route,bus,C-15 P1,Avenida America del Sur → Sector Huayabito,Avenida America del Sur,Sector Huayabito,SANTA ROSA S.R.L.,Transporte Público Urbano Trujillo,#c90076,2
19988688,route,bus,C-15 P1,Avenida America del Sur → Sector Huayabito,Avenida America del Sur,Sector Huayabito,POROTO S.A.,Transporte Público Urbano Trujillo,#808080,2
19973946,route,bus,C-15 P1,Avenida America del Sur → Sector Tres Cruces,Avenida America del Sur,Sector Tres Cruces,SANTA ROSA S.R.L.,Transporte Público Urbano Trujillo,#c90076,2
19988606,route,bus,C-15 P1,Avenida America del Sur → Sector Tres Cruces,Avenida America del Sur,Sector Tres Cruces,POROTO S.A.,Transporte Público Urbano Trujillo,#808080,2
19973949,route,bus,C-15 P1,Sector Huayabito → Avenida America del Sur,Sector Huayabito,Avenida America del Sur,SANTA ROSA S.R.L.,Transporte Público Urbano Trujillo,#c90076,2
19988678,route,bus,C-15 P1,Sector Huayabito → Avenida America del Sur,Sector Huayabito,Avenida America del Sur,POROTO S.A.,Transporte Público Urbano Trujillo,#808080,2
